T (yrs),Par S_T (%),"P(0,T)",Zero y_simple (%),Zero z_cont (%)
1,3.649,0.9647946434601395,3.648999999999991,3.5840004993803722
2,3.395,0.9354854894864628,3.39069918439614,3.334482217973364
3,3.335,0.9063973073655884,3.330166955559477,3.2759179987950464
4,3.336768395114284,0.877081496058969,3.3332319035635827,3.2788841244092213
5,3.3579999999999997,0.847829268094058,3.3566248968296852,3.30151996511095
6,3.3995501932019128,0.8181335246230163,3.402086394325443,3.3454953777496685
7,3.4520000000000004,0.7881216466688649,3.4599804458029793,3.4014689584775613
8,3.505292543594744,0.7582710164134806,3.5194469159071318,3.458930197498612
9,3.557093692133421,0.7287755218367287,3.5779611683041557,3.515439117137362
10,3.6070000000000007,0.6997309262904594,3.635105320591392,3.5705940884952505
11,3.6545761149169347,0.6712394389049575,3.6903671420045026,3.623903334161442
12,3.6992590579605746,0.6434181206706471,3.7430215183989812,3.674670838723194
13,3.740453943545746,0.616391394730702,3.7922387209759822,3.7221010473951064
14,3.777565886087279,0.5902868420730651,3.837120331792754,3.7653334801498684
15,3.81,0.5652336500747529,3.8766972313106995,3.803440622429746
16,3.8373191330097542,0.5413431476425926,3.9101471313901293,3.83563698257082
17,3.8597170660864544,0.5186476936580048,3.937486167301074,3.861943787834575
18,3.8775453135110354,0.49714719294830917,3.9589644811149904,3.8826062992178527
19,3.891155389564428,0.47682807236421104,3.9748555032222743,3.897890991375603
20,3.9008988085275664,0.45766500569245183,3.9854593624242263,3.90808895555736
21,3.9071270846813806,0.4396224901976827,3.9911055126770734,3.9135185579335943
22,3.9101917323068043,0.42265627414395024,3.9921545906282496,3.914527367922111
23,3.910444265684769,0.4067146380946739,3.9889995152999624,3.9114933667482163
24,3.908236199096208,0.3917395355342626,3.982065856103123,3.904825459184238
25,3.9039190468220526,0.3776676004852439,3.9718115224401718,3.8949633361014304
26,3.8978443231432354,0.36443103139978583,3.9587258632051814,3.8823767680900283
27,3.89036354234069,0.3519583617664331,3.943328303814986,3.867564447471019
28,3.8818282186953477,0.3401751286674919,3.926166688823618,3.851052534522031
29,3.8725898664881395,0.3290044510176318,3.9078155372276324,3.8333931013079594
30,3.8629999999999995,0.3183675294692189,3.8888744538446263,3.8151627017416554
